Year,Value,UNIT_MEASURE
2005,5152,BAM
2006,5840,BAM
2007,6556,BAM
2008,7367,BAM
2009,7172,BAM
2010,7388,BAM
2011,7604,BAM
2012,7655,BAM
2013,7831,BAM
2014,8045,BAM
2015,8452,BAM
2016,8857,BAM
2017,9331,BAM
2018,10010,BAM
2019,10584,BAM
2020,10187,BAM
2021,11634,BAM
2022,13660,BAM
2005,2634,EUR
2006,2986,EUR
2007,3352,EUR
2008,3767,EUR
2009,3667,EUR
2010,3777,EUR
2011,3888,EUR
2012,3914,EUR
2013,4004,EUR
2014,4113,EUR
2015,4322,EUR
2016,4528,EUR
2017,4771,EUR
2018,5118,EUR
2019,5411,EUR
2020,5209,EUR
2021,5949,EUR
2022,6984,EUR
2005,3276,USD
2006,3745,USD
2007,4586,USD
2008,5512,USD
2009,5098,USD
2010,5002,USD
2011,5408,USD
2012,5027,USD
2013,5314,USD
2014,5458,USD
2015,4795,USD
2016,5009,USD
2017,5377,USD
2018,6039,USD
2019,6057,USD
2020,5934,USD
2021,7034,USD
2022,7343,USD
