Year,UNIT_MEASURE,Sex,Value
1996,NUMBER,M,28.1
1997,NUMBER,M,27.1
1998,NUMBER,M,27.9
1999,NUMBER,M,27.7
2000,NUMBER,M,27.4
2001,NUMBER,M,27.4
2002,NUMBER,M,27.5
2003,NUMBER,M,27.6
2004,NUMBER,M,27.6
2005,NUMBER,M,27.7
2006,NUMBER,M,27.7
2007,NUMBER,M,27.8
2008,NUMBER,M,27.8
2009,NUMBER,M,27.9
2010,NUMBER,M,27.9
2011,NUMBER,M,28.1
2012,NUMBER,M,28.1
2013,NUMBER,M,28.6
2014,NUMBER,M,28.1
2015,NUMBER,M,28.4
2016,NUMBER,M,28.3
2017,NUMBER,M,28.3
2018,NUMBER,M,28.5
2019,NUMBER,M,28.3
2020,NUMBER,M,28.4
2021,NUMBER,M,28.5
2022,NUMBER,M,28.6
2023,NUMBER,M,28.7
1996,NUMBER,F,24.4
1997,NUMBER,F,23.8
1998,NUMBER,F,24.4
1999,NUMBER,F,24.2
2000,NUMBER,F,23.9
2001,NUMBER,F,24.0
2002,NUMBER,F,24.1
2003,NUMBER,F,24.2
2004,NUMBER,F,24.2
2005,NUMBER,F,24.3
2006,NUMBER,F,24.3
2007,NUMBER,F,24.5
2008,NUMBER,F,24.6
2009,NUMBER,F,24.8
2010,NUMBER,F,24.9
2011,NUMBER,F,25.0
2012,NUMBER,F,25.2
2013,NUMBER,F,25.5
2014,NUMBER,F,25.2
2015,NUMBER,F,25.5
2016,NUMBER,F,25.4
2017,NUMBER,F,25.5
2018,NUMBER,F,25.8
2019,NUMBER,F,25.7
2020,NUMBER,F,25.7
2021,NUMBER,F,26.0
2022,NUMBER,F,26.0
2023,NUMBER,F,26.1
